date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,obos_main,Dealer_Hedging,Dealer_self,Foreign_Investor,Investment_Trust
2024-06-12,1476,566378,304748063,540.0,541.0,535.0,535.0,-4.0,886,478764.0,272.0,-15827.0,-89141.0,51696.0
2024-06-13,1476,930900,497360917,536.0,542.0,529.0,538.0,3.0,1356,734409.0,69.0,-9000.0,121456.0,-650.0
2024-06-14,1476,781015,416749705,536.0,539.0,527.0,535.0,-3.0,1186,803582.0,-352.0,-9000.0,221878.0,-148000.0
2024-06-17,1476,525564,279406129,531.0,535.0,528.0,532.0,-3.0,915,658025.0,2425.0,-5000.0,106387.0,-25618.0
2024-06-18,1476,819833,432455927,532.0,533.0,523.0,527.0,-5.0,1259,937514.0,698.0,-6888.0,95950.0,8275.0
2024-06-19,1476,644194,344614827,528.0,542.0,528.0,532.0,5.0,1247,788199.0,-4775.0,5000.0,70673.0,-63719.0
2024-06-20,1476,504595,268201782,533.0,535.0,527.0,534.0,2.0,2193,569927.0,1402.0,38000.0,-86577.0,-2411.0
2024-06-21,1476,768347,407312961,534.0,537.0,526.0,528.0,-6.0,787,809259.0,296.0,-22002.0,-64780.0,865.0
2024-06-24,1476,770059,414940045,526.0,545.0,524.0,538.0,10.0,1036,760042.0,7052.0,87472.0,-82000.0,57563.0
2024-06-25,1476,1135477,609193897,540.0,546.0,529.0,540.0,2.0,968,1193893.0,-369.0,-44000.0,469990.0,12990.0
2024-06-26,1476,947364,505366472,537.0,538.0,530.0,533.0,-7.0,1028,1197632.0,-1236.0,15000.0,269644.0,990.0
2024-06-27,1476,1135910,600780966,528.0,535.0,523.0,533.0,0.0,1277,1170081.0,1377.0,-11000.0,314200.0,495.0
2024-06-28,1476,948661,504102107,528.0,536.0,525.0,529.0,-4.0,873,1025518.0,328.0,-2121.0,432775.0,-215516.0
2024-07-01,1476,1339841,687527915,525.0,525.0,507.0,513.0,-16.0,1932,1326512.0,-4078.0,11503.0,-421986.0,-37776.0
2024-07-02,1476,1602885,798547840,501.0,504.0,493.0,496.5,-16.5,2967,1442069.0,-93.0,-11011.0,-781500.0,2437.0
2024-07-03,1476,1900509,975166936,490.0,528.0,490.0,521.0,24.5,2143,1761110.0,589.0,17959.0,-315000.0,186916.0
2024-07-04,1476,672174,353369604,528.0,531.0,523.0,524.0,3.0,911,888058.0,2870.0,12000.0,-87236.0,-677.0
2024-07-05,1476,1250053,670805517,529.0,541.0,523.0,536.0,12.0,1712,1345644.0,264.0,-2000.0,-158427.0,107458.0
2024-07-08,1476,1525457,831873691,534.0,550.0,527.0,544.0,8.0,1843,1700081.0,-1263.0,-45000.0,-234104.0,150823.0
2024-07-09,1476,1574624,876059298,542.0,562.0,542.0,553.0,9.0,2109,1506217.0,-350.0,-2000.0,-209134.0,476715.0
2024-07-10,1476,604945,330933321,555.0,555.0,541.0,547.0,-6.0,1050,784649.0,-77.0,-6000.0,72093.0,56000.0
2024-07-11,1476,802862,434814370,544.0,547.0,534.0,541.0,-6.0,2588,955342.0,654.0,-2000.0,-30000.0,-7000.0
2024-07-12,1476,861832,465333848,542.0,550.0,536.0,540.0,-1.0,1446,1043038.0,1562.0,11000.0,254168.0,155733.0
2024-07-15,1476,808192,443184778,546.0,551.0,540.0,548.0,8.0,978,1007720.0,163.0,2000.0,-274429.0,141744.0
2024-07-16,1476,576718,315034012,548.0,550.0,542.0,543.0,-5.0,804,795698.0,684.0,14121.0,-39091.0,-146000.0
2024-07-17,1476,699417,384763306,543.0,554.0,543.0,548.0,5.0,1350,721412.0,-694.0,-1000.0,153311.0,489.0
2024-07-18,1476,561027,307738670,550.0,550.0,542.0,550.0,2.0,515,368464.0,608.0,19.0,125370.0,2225.0
2024-07-19,1476,859577,467617378,544.0,549.0,538.0,548.0,-2.0,831,609158.0,-3147.0,8588.0,46917.0,20000.0
2024-07-22,1476,463221,248148601,544.0,547.0,530.0,536.0,-12.0,1311,519717.0,1739.0,-6247.0,131000.0,-19992.0
2024-07-23,1476,543615,293435355,537.0,544.0,533.0,540.0,4.0,673,711840.0,-595.0,-14000.0,-75237.0,-754.0
2024-07-26,1476,1171457,605958229,511.0,525.0,511.0,520.0,-20.0,2906,1147245.0,74.0,-39223.0,-146459.0,-34000.0
2024-07-29,1476,519678,273913067,521.0,535.0,519.0,528.0,8.0,618,578998.0,1060.0,-34090.0,30770.0,0.0
2024-07-30,1476,217437,114275908,522.0,529.0,521.0,528.0,0.0,384,282277.0,-1886.0,-917.0,-88500.0,1000.0
2024-07-31,1476,158441,83812703,529.0,532.0,525.0,528.0,0.0,189,144743.0,755.0,4000.0,23000.0,245.0
2024-08-01,1476,441722,237635972,533.0,544.0,529.0,541.0,13.0,606,440892.0,-200.0,-11018.0,78662.0,736.0
2024-08-02,1476,702149,369158836,533.0,534.0,519.0,524.0,-17.0,938,618475.0,-3228.0,-4500.0,-52028.0,-26509.0
2024-08-05,1476,934770,464440691,511.0,518.0,487.0,490.0,-34.0,1588,1069639.0,-3567.0,-47961.0,71187.0,1983.0
2024-08-06,1476,665935,322545132,502.0,502.0,470.5,484.0,-6.0,1144,661130.0,6438.0,-33499.0,-230111.0,5580.0
2024-08-07,1476,629927,315870403,482.0,507.0,482.0,506.0,22.0,814,466848.0,319.0,-14241.0,-101923.0,14162.0
2024-08-08,1476,635443,316682306,495.0,505.0,491.5,500.0,-6.0,740,595302.0,-1870.0,1974.0,-66820.0,-463.0
2024-08-09,1476,1446311,725797394,517.0,517.0,493.5,497.5,-2.5,1552,1359351.0,1696.0,10672.0,-419674.0,352.0
2024-08-12,1476,499738,250152477,496.0,508.0,496.0,503.0,5.5,633,495003.0,308.0,-10000.0,11193.0,3011.0
2024-08-13,1476,1226429,602360868,507.0,507.0,487.0,492.0,-11.0,1658,1144309.0,1541.0,20183.0,108162.0,-377743.0
2024-08-14,1476,716767,357245087,498.0,504.0,493.0,501.0,9.0,857,791481.0,1067.0,10000.0,110593.0,-23543.0
2024-08-15,1476,881369,439973470,505.0,505.0,494.5,495.5,-5.5,1284,1043390.0,2255.0,13000.0,-210938.0,-6512.0
2024-08-16,1476,1777454,934201308,504.0,535.0,503.0,529.0,33.5,2063,1881829.0,2833.0,9000.0,-156600.0,129426.0
2024-08-19,1476,437353,228953081,535.0,535.0,518.0,520.0,-9.0,984,394519.0,99.0,-26868.0,-94000.0,959.0
2024-08-20,1476,370895,193057176,520.0,530.0,515.0,517.0,-3.0,518,382177.0,1271.0,8999.0,-114940.0,9018.0
2024-08-21,1476,1253789,665819921,524.0,538.0,521.0,534.0,17.0,1313,1044676.0,1486.0,-19069.0,-163487.0,19272.0
2024-08-22,1476,324488,172428403,533.0,536.0,527.0,530.0,-4.0,399,183185.0,-204.0,8422.0,-127371.0,33630.0
2024-08-23,1476,2931657,1538507646,525.0,534.0,524.0,528.0,-2.0,547,453304.0,620.0,-5000.0,176700.0,-136.0
2024-08-26,1476,835113,451530510,528.0,545.0,526.0,539.0,11.0,1120,812233.0,1534.0,-24000.0,8782.0,-136.0
2024-08-27,1476,279959,149784614,534.0,541.0,531.0,538.0,-1.0,354,331094.0,-395.0,-9950.0,14696.0,-136.0
2024-08-28,1476,215398,114475227,537.0,537.0,528.0,531.0,-7.0,346,242984.0,193.0,-8765.0,11800.0,-136.0
2024-08-29,1476,280658,147475506,522.0,529.0,521.0,525.0,-6.0,529,181511.0,-984.0,-1000.0,-16245.0,0.0
2024-08-30,1476,1534767,823233069,524.0,540.0,524.0,536.0,11.0,837,1892575.0,-306.0,-6000.0,42486.0,1000.0
2024-09-02,1476,278341,148587116,531.0,543.0,529.0,532.0,-4.0,373,371007.0,-112.0,-15000.0,-74500.0,-273.0
2024-09-03,1476,219262,116911334,531.0,536.0,530.0,534.0,2.0,259,276928.0,1143.0,0.0,-20752.0,0.0
2024-09-04,1476,805733,419517351,516.0,531.0,510.0,518.0,-16.0,899,797679.0,-547.0,-11110.0,-41000.0,983.0
2024-09-05,1476,470543,248415820,541.0,541.0,522.0,522.0,4.0,504,540103.0,-1336.0,-24000.0,-54172.0,-7562.0
2024-09-06,1476,317291,167100911,523.0,530.0,521.0,527.0,5.0,471,358036.0,-1506.0,-6067.0,128762.0,543.0
2024-09-09,1476,522082,268212212,515.0,522.0,510.0,515.0,-12.0,770,611502.0,-2691.0,-8000.0,-137546.0,1401.0
2024-09-10,1476,902460,472346765,515.0,528.0,515.0,525.0,10.0,689,895594.0,-751.0,24000.0,12783.0,206.0
2024-09-11,1476,307474,159127188,525.0,525.0,515.0,515.0,-10.0,340,370587.0,-138.0,19000.0,-52773.0,4315.0
2024-09-12,1476,268565,140740397,528.0,528.0,519.0,527.0,12.0,339,331850.0,5124.0,6000.0,87810.0,-273.0
2024-09-13,1476,475879,254451773,527.0,539.0,527.0,536.0,9.0,610,730788.0,-1374.0,-7000.0,258058.0,0.0
2024-09-16,1476,248606,132504527,531.0,535.0,529.0,535.0,-1.0,354,363506.0,291.0,0.0,-11100.0,-1136.0
2024-09-18,1476,847757,462422840,532.0,549.0,532.0,546.0,11.0,1164,1146796.0,-257.0,-19000.0,57131.0,178000.0
